degree,total_power,max_amplitude,total_amplitude
107,7.891925265514915e-11,1.8514944020643546e-06,8.883650862970087e-06
108,8.439263187017323e-11,2.2493320209740497e-06,9.186546242749405e-06
109,8.197855628413427e-11,1.9000927482331862e-06,9.05420102958479e-06
110,1.5472109951390558e-10,4.236146496690673e-06,1.2438693641773865e-05
111,7.976326799176523e-11,2.1768611394095608e-06,8.93102838377335e-06
112,1.7061886788537967e-10,3.6734050073906354e-06,1.306211575072659e-05
113,7.135096453454878e-11,2.524512601100798e-06,8.446950013735654e-06
114,1.9398937457974642e-10,4.596688448044438e-06,1.3928006841603231e-05
115,1.0007897802084903e-10,2.88358856342967e-06,1.0003948121659219e-05
116,2.411171850291704e-10,5.855926591188737e-06,1.5527948513218685e-05
117,9.06698353261228e-11,2.6072374269317543e-06,9.522070957839098e-06
118,3.0556649916386503e-10,4.386541657943989e-06,1.7480460496333186e-05
119,9.241968714545822e-11,2.613514052049736e-06,9.613515857658852e-06
120,4.1425875295473644e-10,5.569856486056224e-06,2.0353347463125973e-05
121,6.719185215327098e-11,2.1717984592889553e-06,8.197063629939137e-06
122,3.774640415731944e-10,3.7137083798024745e-06,1.9428433842520463e-05
123,6.828022681596078e-11,2.796993785931746e-06,8.263185028544429e-06
124,3.568744182285381e-10,2.8695909326713847e-06,1.889112008930487e-05
125,6.533467714871269e-11,2.397575304437862e-06,8.082986895245636e-06
126,2.846789361657644e-10,3.3294666342375e-06,1.6872431246437615e-05
127,5.97962882270391e-11,2.249947457522902e-06,7.732805973709615e-06
