degree,order,value,amplitude,power,real,imag,harmonic
61,-17,(2.382829892154159e-07+2.922273874723315e-08j),2.4006822240630483e-07,5.763275140932304e-14,2.382829892154159e-07,2.922273874723315e-08,l=61 m=-17
61,-16,(3.4686967653752048e-09+3.9793737703016936e-09j),5.278946187819073e-09,2.7867272853889524e-17,3.4686967653752048e-09,3.9793737703016936e-09,l=61 m=-16
61,-15,(1.6267056462836383e-09-1.2817201933626257e-09j),2.070984769071129e-09,4.288977913724597e-18,1.6267056462836383e-09,-1.2817201933626257e-09,l=61 m=-15
61,-14,(1.3407195747648805e-09+1.968088614819349e-09j),2.3813655271585806e-09,5.6709017739392644e-18,1.3407195747648805e-09,1.968088614819349e-09,l=61 m=-14
61,-13,(-2.917948207269486e-07+1.7270867946975698e-08j),2.923054913659919e-07,8.544250028271396e-14,-2.917948207269486e-07,1.7270867946975698e-08,l=61 m=-13
61,-12,(-3.5867958162381435e-09-5.613910791070294e-08j),5.625357358636812e-08,3.1644645412369332e-15,-3.5867958162381435e-09,-5.613910791070294e-08,l=61 m=-12
61,-11,(-3.4034697204006787e-06+2.0217535461701765e-08j),3.40352976869961e-06,1.158401488642442e-11,-3.4034697204006787e-06,2.0217535461701765e-08,l=61 m=-11
61,-10,(-8.964834044366685e-09+1.8618992355410797e-09j),9.156141010619288e-09,8.38349182063444e-17,-8.964834044366685e-09,1.8618992355410797e-09,l=61 m=-10
61,-9,(1.703009078446481e-07-7.162174239573383e-09j),1.7045144749326517e-07,2.905369595254933e-14,1.703009078446481e-07,-7.162174239573383e-09,l=61 m=-9
61,-8,(-8.268183155852306e-09-1.5840594162965035e-08j),1.7868611477517823e-08,3.192872761344817e-16,-8.268183155852306e-09,-1.5840594162965035e-08,l=61 m=-8
61,-7,(-2.5785540047436426e-06+2.6743011829409712e-09j),2.578555391545098e-06,6.648947907266294e-12,-2.5785540047436426e-06,2.6743011829409712e-09,l=61 m=-7
61,-6,(-1.048156051074411e-09+1.2517233377151345e-08j),1.2561041458632144e-08,1.5777976252547554e-16,-1.048156051074411e-09,1.2517233377151345e-08,l=61 m=-6
61,-5,(2.0105191931994107e-06-2.8983032696823862e-08j),2.0107280876357986e-06,4.043027442407516e-12,2.0105191931994107e-06,-2.8983032696823862e-08,l=61 m=-5
61,-4,(-2.0980347543786126e-09-3.162954143156101e-08j),3.1699047951025515e-08,1.0048296410014148e-15,-2.0980347543786126e-09,-3.162954143156101e-08,l=61 m=-4
61,-3,(-1.5239973302530968e-06-1.657977456439744e-08j),1.52408751439777e-06,2.3228427515431727e-12,-1.5239973302530968e-06,-1.657977456439744e-08,l=61 m=-3
61,-2,(-4.375883049800697e-09-4.943189485387112e-08j),4.962520107072316e-08,2.462660581309703e-15,-4.375883049800697e-09,-4.943189485387112e-08,l=61 m=-2
61,-1,(-3.280539036151439e-07-3.2521510610268446e-08j),3.2966196676217887e-07,1.0867701232950792e-13,-3.280539036151439e-07,-3.2521510610268446e-08,l=61 m=-1
61,0,(3.21434724724803e-09+0j),3.21434724724803e-09,1.033202822589099e-17,3.21434724724803e-09,0.0,l=61 m=0
61,1,(3.2805390361514365e-07-3.252151061026812e-08j),3.296619667621786e-07,1.0867701232950775e-13,3.2805390361514365e-07,-3.252151061026812e-08,l=61 m=1
61,2,(-4.375883049746614e-09+4.943189485399245e-08j),4.962520107083925e-08,2.462660581321225e-15,-4.375883049746614e-09,4.943189485399245e-08,l=61 m=2
61,3,(1.5239973302530964e-06-1.6579774564397317e-08j),1.5240875143977696e-06,2.3228427515431715e-12,1.5239973302530964e-06,-1.6579774564397317e-08,l=61 m=3
61,4,(-2.0980347543800515e-09+3.1629541431575934e-08j),3.16990479510405e-08,1.0048296410023652e-15,-2.0980347543800515e-09,3.1629541431575934e-08,l=61 m=4
61,5,(-2.0105191931994107e-06-2.8983032696823892e-08j),2.0107280876357986e-06,4.043027442407516e-12,-2.0105191931994107e-06,-2.8983032696823892e-08,l=61 m=5
61,6,(-1.0481560510694296e-09-1.251723337715148e-08j),1.2561041458631863e-08,1.577797625254685e-16,-1.0481560510694296e-09,-1.251723337715148e-08,l=61 m=6
61,7,(2.5785540047436426e-06+2.6743011829409605e-09j),2.578555391545098e-06,6.648947907266294e-12,2.5785540047436426e-06,2.6743011829409605e-09,l=61 m=7
61,8,(-8.268183155852857e-09+1.584059416296519e-08j),1.7868611477518217e-08,3.1928727613449573e-16,-8.268183155852857e-09,1.584059416296519e-08,l=61 m=8
61,9,(-1.7030090784464825e-07-7.162174239573386e-09j),1.7045144749326532e-07,2.905369595254939e-14,-1.7030090784464825e-07,-7.162174239573386e-09,l=61 m=9
61,10,(-8.964834044366196e-09-1.8618992355409626e-09j),9.156141010618784e-09,8.383491820633516e-17,-8.964834044366196e-09,-1.8618992355409626e-09,l=61 m=10
61,11,(3.4034697204006787e-06+2.0217535461701784e-08j),3.40352976869961e-06,1.158401488642442e-11,3.4034697204006787e-06,2.0217535461701784e-08,l=61 m=11
61,12,(-3.5867958162381336e-09+5.6139107910702913e-08j),5.6253573586368095e-08,3.16446454123693e-15,-3.5867958162381336e-09,5.6139107910702913e-08,l=61 m=12
61,13,(2.9179482072694846e-07+1.7270867946975665e-08j),2.923054913659917e-07,8.544250028271386e-14,2.9179482072694846e-07,1.7270867946975665e-08,l=61 m=13
61,14,(1.3407195747648875e-09-1.968088614819304e-09j),2.381365527158548e-09,5.670901773939109e-18,1.3407195747648875e-09,-1.968088614819304e-09,l=61 m=14
61,15,(-1.6267056462838714e-09-1.2817201933625883e-09j),2.0709847690712885e-09,4.288977913725258e-18,-1.6267056462838714e-09,-1.2817201933625883e-09,l=61 m=15
61,16,(3.4686967653752846e-09-3.97937377030167e-09j),5.278946187819108e-09,2.786727285388989e-17,3.4686967653752846e-09,-3.97937377030167e-09,l=61 m=16
61,17,(-2.3828298921541578e-07+2.922273874723314e-08j),2.400682224063047e-07,5.763275140932299e-14,-2.3828298921541578e-07,2.922273874723314e-08,l=61 m=17
61,18,(1.1955948813329665e-08+2.4871941565907996e-08j),2.7596343766609754e-08,7.615581892849011e-16,1.1955948813329665e-08,2.4871941565907996e-08,l=61 m=18
61,19,(-1.4637429387202151e-06+7.126647417643328e-09j),1.4637602876689569e-06,2.1425941797567074e-12,-1.4637429387202151e-06,7.126647417643328e-09,l=61 m=19
61,20,(1.557723231992984e-08+4.917066062328356e-09j),1.6334861658745936e-08,2.66827705410368e-16,1.557723231992984e-08,4.917066062328356e-09,l=61 m=20
61,21,(1.9553497589520495e-07+3.053332435056064e-08j),1.9790454945310106e-07,3.9166210694234925e-14,1.9553497589520495e-07,3.053332435056064e-08,l=61 m=21
61,22,(6.8946410714632015e-09-3.019879757658438e-08j),3.097585270135152e-08,9.595034505758261e-16,6.8946410714632015e-09,-3.019879757658438e-08,l=61 m=22
61,23,(1.9319002299597493e-07+2.5521233268800197e-08j),1.9486846418224227e-07,3.797371833274584e-14,1.9319002299597493e-07,2.5521233268800197e-08,l=61 m=23
61,24,(3.6397580758952403e-09+2.368179608271258e-08j),2.3959868625562735e-08,5.740753045542255e-16,3.6397580758952403e-09,2.368179608271258e-08,l=61 m=24
61,25,(1.3129612531299394e-06+2.0603918008364626e-08j),1.3131229088161688e-06,1.7242917736578364e-12,1.3129612531299394e-06,2.0603918008364626e-08,l=61 m=25
61,26,(1.973638248530487e-10-4.998900941322214e-08j),4.9989399022138414e-08,2.498940014594573e-15,1.973638248530487e-10,-4.998900941322214e-08,l=61 m=26
61,27,(-8.572840054936512e-07-9.839518595654405e-09j),8.573404704091793e-07,7.350326822014328e-13,-8.572840054936512e-07,-9.839518595654405e-09,l=61 m=27
61,28,(-4.926783007985817e-09-2.9013678491618082e-08j),2.9429011713320576e-08,8.660667304227597e-16,-4.926783007985817e-09,-2.9013678491618082e-08,l=61 m=28
61,29,(-8.328318021517712e-08+7.743413362510242e-09j),8.364238493285789e-08,6.9960485572563726e-15,-8.328318021517712e-08,7.743413362510242e-09,l=61 m=29
61,30,(-2.0583703385637966e-09+8.232749031058772e-09j),8.486167866538959e-09,7.201504505907839e-17,-2.0583703385637966e-09,8.232749031058772e-09,l=61 m=30
61,31,(2.397460927497047e-07+5.287120904706715e-09j),2.39804384105485e-07,5.750614263621099e-14,2.397460927497047e-07,5.287120904706715e-09,l=61 m=31
61,32,(-8.502031487041278e-09+1.9711776623326036e-08j),2.146715344554429e-08,4.60838677054544e-16,-8.502031487041278e-09,1.9711776623326036e-08,l=61 m=32
61,33,(-7.756296533036662e-08-5.281452579531653e-10j),7.756476344483462e-08,6.016292528253153e-15,-7.756296533036662e-08,-5.281452579531653e-10,l=61 m=33
61,34,(-1.624477260031865e-09-3.1691370075824966e-09j),3.561229526608693e-09,1.2682355741189575e-17,-1.624477260031865e-09,-3.1691370075824966e-09,l=61 m=34
61,35,(-3.227918286327558e-08-5.362482246312939e-09j),3.2721580985074746e-08,1.0707018621628052e-15,-3.227918286327558e-08,-5.362482246312939e-09,l=61 m=35
61,36,(2.063193366727703e-09+3.721478614171009e-08j),3.7271934138728654e-08,1.3891970744417266e-15,2.063193366727703e-09,3.721478614171009e-08,l=61 m=36
61,37,(-4.580162891016235e-08+6.269124042190924e-09j),4.6228682947717604e-08,2.1370911270805966e-15,-4.580162891016235e-08,6.269124042190924e-09,l=61 m=37
61,38,(6.489101664824003e-09+2.4564582834430577e-08j),2.5407226732684207e-08,6.45527170246023e-16,6.489101664824003e-09,2.4564582834430577e-08,l=61 m=38
61,39,(1.957276801651724e-08-1.0183095063200447e-08j),2.2063287898556224e-08,4.867886728945775e-16,1.957276801651724e-08,-1.0183095063200447e-08,l=61 m=39
61,40,(5.1958186635816836e-09+5.867388012323261e-09j),7.837268253159289e-09,6.142277367197844e-17,5.1958186635816836e-09,5.867388012323261e-09,l=61 m=40
61,41,(-2.9341997845060894e-08+2.8054286033091603e-09j),2.9475808168527346e-08,8.688232671878235e-16,-2.9341997845060894e-08,2.8054286033091603e-09,l=61 m=41
61,42,(-2.1055572344005188e-10+1.3571804964827286e-08j),1.3573438168569667e-08,1.8423822371598389e-16,-2.1055572344005188e-10,1.3571804964827286e-08,l=61 m=42
61,43,(-1.1818791749206362e-08-4.821536142627481e-09j),1.2764444726887711e-08,1.629310491857715e-16,-1.1818791749206362e-08,-4.821536142627481e-09,l=61 m=43
61,44,(-1.8969978527269395e-09-2.494961540760087e-08j),2.5021628840673935e-08,6.260819098404456e-16,-1.8969978527269395e-09,-2.494961540760087e-08,l=61 m=44
61,45,(-2.4860484097595594e-08-2.3075946661191358e-08j),3.391965483133565e-08,1.150542983876952e-15,-2.4860484097595594e-08,-2.3075946661191358e-08,l=61 m=45
61,46,(-2.501667697217404e-09-1.8870475586523834e-08j),1.9035576958130083e-08,3.6235319012889295e-16,-2.501667697217404e-09,-1.8870475586523834e-08,l=61 m=46
61,47,(-3.1868341408088264e-09-3.055762580846077e-08j),3.072335279377777e-08,9.439244068909325e-16,-3.1868341408088264e-09,-3.055762580846077e-08,l=61 m=47
61,48,(-2.9605331380138395e-09-1.4533561126519556e-08j),1.4832031400976687e-08,2.1998915547955846e-16,-2.9605331380138395e-09,-1.4533561126519556e-08,l=61 m=48
61,49,(7.958916983973359e-08-2.6156060722059108e-08j),8.377693876165446e-08,7.018575468274001e-15,7.958916983973359e-08,-2.6156060722059108e-08,l=61 m=49
61,50,(-3.0277852831666827e-09-7.096571983777866e-10j),3.109838751474127e-09,9.671097060170157e-18,-3.0277852831666827e-09,-7.096571983777866e-10,l=61 m=50
61,51,(8.68286167690895e-08-2.684593815509391e-08j),9.088406397966884e-08,8.25991308546054e-15,8.68286167690895e-08,-2.684593815509391e-08,l=61 m=51
61,52,(-3.6919074808899014e-09+3.419615206760122e-08j),3.439486876087708e-08,1.183006997077958e-15,-3.6919074808899014e-09,3.419615206760122e-08,l=61 m=52
61,53,(-6.977512911223431e-09-3.8623394923083576e-08j),3.9248596431092515e-08,1.540452321810768e-15,-6.977512911223431e-09,-3.8623394923083576e-08,l=61 m=53
61,54,(-7.051717364199093e-10-4.485214381546037e-08j),4.485768687773128e-08,2.012212072020585e-15,-7.051717364199093e-10,-4.485214381546037e-08,l=61 m=54
61,55,(-1.4947729732615703e-07-1.4955028334179616e-09j),1.494847783042043e-07,2.2345698944657105e-14,-1.4947729732615703e-07,-1.4955028334179616e-09,l=61 m=55
61,56,(-3.9324452286968084e-09-5.895131527761261e-09j),7.086374334333821e-09,5.021670120630511e-17,-3.9324452286968084e-09,-5.895131527761261e-09,l=61 m=56
